EnthalpyFus,JR Tm /K,CRC Tm /K
24.31,412.29,306.15
10.05,175.95,195.85
19.13,367.88,329.95
19.13,367.88,330.95
19.13,367.88,340.95
29.46,474.05,413.15
28.53,470.32,389.75
19.73,341.15,306.65
19.73,341.15,349.15
8.4,168.41,172.61999999999998
4.51,185.83,239.25
18.44,376.7000000000001,341.95
23.25,472.48,488.15
22.88,406.73,365.55
25.43,467.00000000000006,424.35
6.82,179.34,216.55
12.7,319.83000000000004,232.65
15.54,279.95,259.65
15.54,279.95,298.95
20.72,372.13,298.95
7.63,161.33,165.99999999999997
35.73,492.11000000000007,315.25
13.14,348.84000000000003,413.75
13.14,348.84000000000003,497.15
11.69,261.99,237.15
14.69,300.96,330.15
24.71,406.28,506.95
48.74,337.39,289.15
90.04,613.5200000000001,484.15
66.65,444.9,322.15
81.03,574.0,295.15
40.71,608.37,451.95
18.39,349.46,515.15
43.64,476.19,319.15
17.68,285.86,345.15
10.15,186.84,167.04999999999998
11.08,190.57,207.15
11.12,187.5,223.15
25.18,264.23,213.15
24.5,373.0700000000001,351.15
18.72,261.35,251.85
15.31,241.4,189.25
33.69,339.58000000000004,305.15
28.34,370.68,273.95
13.23,243.57,192.45
36.18,456.4500000000001,344.15
14.38,203.64,171.64999999999998
26.4,286.81,291.15
30.4,291.69,212.95
14.86,224.07,209.15
28.4,289.25,241.15
23.22,266.71,248.15
20.35,273.93,219.85
25.42,259.5,273.95
27.8,275.85,249.05
30.05,347.36,408.15
29.23,348.6,284.65
25.42,259.5,264.35
22.62,253.31,223.15
20.92,285.14,213.15
25.21,260.13,331.65
38.16,320.93,254.65
11.65,193.61,240.11
8.49,179.3,203.15
28.68,332.35,289.65
14.65,292.71000000000004,334.45
40.75,332.2,275.65
51.54,489.78,377.15
25.21,264.58,251.55
26.34,356.22,291.85
18.51,238.04,200.55
20.32,301.36,383.45
13.72,259.08,272.15
11.11,197.5,226.05
11.11,197.5,249.65
33.05,509.7600000000001,348.65
7.1,113.48,179.59999999999997
4.51,102.21,136.33999999999995
2.27,127.17,168.34999999999997
37.22,387.54,333.65
215.39,2129.08,510.65
104.73,1173.0,528.65
27.59,478.27,421.15
37.03,300.2,304.65
31.85,277.66,260.15
53.2,630.96,512.45
30.26,515.46,443.55
15.17,267.61,251.65
15.66,275.36,269.84
23.76,432.91,408.65
15.57,364.03,331.15
32.46,539.25,451.15
14.54,339.83000000000004,380.15
11.49,260.82,264.38
27.25,490.99,376.15
26.19,423.16,410.15
11.22,390.24,358.45
20.65,420.57,299.65
32.23,590.3799999999999,426.15
29.64,579.1099999999999,502.15
29.64,579.1099999999999,444.15
29.64,579.1099999999999,508.45
30.67,562.48,483.15
29.04,522.36,535.15
47.51,708.2399999999999,476.15
47.51,708.2399999999999,392.15
44.15,646.4499999999999,388.15
32.43,568.38,504.15
31.24,546.15,556.15
63.79,705.4599999999999,399.15
23.68,479.71,419.15
10.47,272.21000000000004,418.15
38.45,385.24,326.15
27.93,704.16,387.65
12.87,334.52,354.65
13.76,312.44,296.65
13.76,312.44,402.4
9.75,228.42,356.15
20.11,273.5,282.54999999999995
30.52,580.29,430.15
12.34,239.69,253.15
38.74,699.3499999999999,486.15
13.56,184.32,167.64999999999998
19.62,225.12,229.15
17.44,301.68,317.65
18.25,329.72,228.15
13.44,233.94,210.15
14.83,334.41,303.25
12.51,196.18,204.15
28.53,279.66,272.54999999999995
8.38,161.78,195.12
8.49,216.55,266.65
27.44,498.96,466.15
39.42,491.75,419.15
17.31,359.1,355.65
12.5,263.32000000000005,295.65
12.5,263.32000000000005,329.35
31.31,561.44,410.15
24.85,447.71,454.15
29.04,488.17,382.15
21.7,369.88000000000005,448.15
8.49,179.3,204.15
41.23,322.08,283.15
22.54,382.4500000000001,375.65
14.71,287.11,297.15
23.48,419.45,371.15
18.29,375.04,329.65
18.89,348.31,324.15
20.09,304.57,291.15
